crypto,n_infrastructure,mean_infra_effect,sig_infra_5pct,n_regulatory,mean_reg_effect,sig_reg_5pct,difference
BTC,1,1.1908337289461544,1,1,0.31149620772882164,0,0.8793375212173327
ETH,1,2.8140787326171743,1,1,0.5549070258133338,0,2.2591717068038406
XRP,1,2.519016271604835,1,1,1.4326476209607124,0,1.0863686506441228
BNB,1,1.4989224847013447,1,1,0.1645170197704718,0,1.334405464930873
LTC,1,2.917150557245674,0,1,0.049307324281733386,0,2.8678432329639407
ADA,1,3.370851161641288,1,1,-0.00016493820697857919,0,3.3710160998482666
