,weighted_average,standard_error,ci_lower,ci_upper,n_coefficients,total_weight,value,z_statistic,p_value,significant_5pct,significant_10pct
Infrastructure,1.7720655294837713,0.33868900071525787,1.1082350880818659,2.4358959708856767,6.0,8.717617598273247,,,,,
Regulatory,0.2993888996655077,0.17235976721566504,-0.03843624407719576,0.6372140434082112,6.0,33.66109211134084,,,,,
difference,,0.3800238526199878,,,,,1.4726766298182636,3.875221567449597,0.00010652772488972673,True,True
