spec,asset,n_infra_events,n_reg_events,converged,log_lik,aic,omega,alpha,gamma,beta,nu,D_infrastructure,D_regulatory,se_infrastructure,se_regulatory,p_infrastructure,p_regulatory,S_gdelt,S_reg,S_infra
S1_baseline,btc,26,24,True,-5919.696002734766,11859.392005469532,0.11468856207532756,0.07404572893530048,5.8521408533521936e-08,0.9249542418039953,3.129992254287756,1.0076237274680773,0.2982501810787411,0.4439709841722762,0.21703911012657642,0.02332110643074281,0.16951374069439984,0.009625166459998852,0.26726585433504657,-0.08977870014028388
S1_baseline,eth,26,24,True,-6630.474844386591,13280.949688773182,0.12707302560827682,0.07040379791916637,-0.008074243020878034,0.9245590805703946,3.764407603552218,2.247431044588243,0.4881855183960561,0.8770912000447677,0.3481242229187171,0.010456014334072838,0.160944366255233,0.30379221866024037,-0.23354741869800355,-0.5337133345212999
S1_baseline,xrp,26,24,True,-6623.031130851128,13266.062261702256,1.3258821813288397,0.2134138100363842,-0.02733486725202284,0.7719187563376043,3.144409619010983,2.2374902264915035,1.220272877138206,1.281505996790706,0.8412380866121298,0.08094024350915174,0.14702963147171677,0.04470646326115628,-2.2885755650382067,1.759427565291583
S1_baseline,bnb,26,24,True,-5662.617871658909,11345.235743317819,0.2863356806689125,0.13903383662929047,-0.010940139380575734,0.8544960936804217,4.205338500310885,1.205600127518391,0.18146914209594223,0.5478791187599019,0.275245536142156,0.027876947185837553,0.5097733062152994,0.14478859142664396,-0.7468492330391948,0.2379906728891251
S1_baseline,ltc,26,24,True,-6849.927726084586,13719.855452169171,0.7106988002375384,0.09832106093335764,-0.03373203993206904,0.8838129191000419,3.9305317887935214,2.380911227979958,0.14377591650270813,1.3697234548361663,0.5265112449702553,0.08229511205814832,0.7848204924393674,0.0017314800009883553,0.1437025759875183,0.1479487937742667
S1_baseline,ada,26,24,True,-7007.854677419965,14035.70935483993,1.403827651118523,0.15869174534654742,-0.025036256844934587,0.8005748057164823,4.580784483195713,2.790905908201393,0.09887818515400539,0.9464060751414323,0.6772780780787073,0.0032190379574137395,0.8839386727885654,-0.23472966432828726,-0.6533333192813521,1.6721300749583294
S2_relaxed,btc,69,46,True,-5918.156209228775,11856.31241845755,0.08353759030527966,0.07308994439656276,-0.0015910616827177135,0.9248799221186845,3.0778594047995913,0.6548705457570998,0.3455796359155173,0.26523286102250065,0.1949775297709454,0.01361608334242792,0.07645251716367452,0.023325375324718827,0.14341857176219236,-0.019947327683616674
S2_relaxed,eth,69,46,True,-6628.11022380385,13276.2204476077,0.06505846079770192,0.06477068197191883,-0.01133558670312652,0.9285615246765179,3.7039226894628916,1.3525505590549107,0.5046366255220888,0.45299978095575966,0.3111837427023676,0.002857020559634771,0.10500456949932424,0.21730346254074223,-0.016749398071497543,-0.40985403191344205
S2_relaxed,xrp,69,46,True,-6616.239038824712,13252.478077649424,1.2976982815499705,0.22723385484889583,-0.04691399126804654,0.7483091495170809,3.1700502055310023,2.113379648567961,2.576011586966111,0.7175881896551072,0.9056173089769649,0.0032590832153367444,0.004485695020754132,0.22899906064119313,-2.8527074423827035,1.7010544971539718
S2_relaxed,bnb,69,46,True,-5657.1100145020355,11334.220029004071,0.21961209275222485,0.14821067399594323,-0.016163635886790872,0.8427075080606614,4.144788832336643,1.1061309029475859,0.6382198440098125,0.36527012833965455,0.3325488121256794,0.0024885359961357434,0.05509236727822597,0.17014139653492433,-0.9015330152463719,0.21577292922163405
S2_relaxed,ltc,69,46,True,-6851.894620440886,13723.789240881772,0.5890054734929805,0.09472058644277263,-0.030814196126106867,0.8888723154941712,3.907079820575586,1.0099103842733057,0.32083101504189343,0.5563088741881411,0.5273466798859877,0.06958949722472774,0.54298764375738,0.09749256695623501,-0.031471106736013575,0.09983908668241605
S2_relaxed,ada,69,46,True,-7005.084697297079,14030.169394594159,1.3966782334708585,0.1635062592524416,-0.026137294640414293,0.7810627624289982,4.607322242633512,2.1792754379049035,1.2767117262966936,0.8391708147644261,0.8401949513053574,0.009462729245871548,0.12875647738400864,0.020328976028024276,-1.2449815400165363,1.4646002328253722
S3_nofilter,btc,82,53,True,-5924.9139407619705,11869.827881523941,0.139932322787432,0.07032196670687525,4.093958309694149e-07,0.9286778285952093,3.2008051680059504,0.04218406042326392,0.11417532996399693,0.1654943979384341,0.16752847506140592,0.7988241138008141,0.4956026244059384,-0.06502205971042813,0.3124077123683499,0.13354401628507337
S3_nofilter,eth,82,53,True,-6640.625143860684,13301.250287721368,0.03853667910925268,0.04899999720646145,-2.6690441726378627e-09,0.9499999999999991,3.725205923929149,0.2887895366588822,0.10778212489652676,0.20202225575089694,0.2063878819601041,0.15299125377052247,0.6015573084247157,0.21513078917178116,0.10808071302330895,-0.46904193457772336
S3_nofilter,xrp,82,53,True,-6624.60362750282,13269.20725500564,1.4638066291542358,0.22952395894156313,-0.02682034496013057,0.7560658685906879,3.1365788272536013,0.2168546306559593,1.1509543203671573,0.5131976822389498,0.9070596562206855,0.6726568970114029,0.20460394044767116,-0.12827353747313103,-1.9032312388779589,2.129245555560324
S3_nofilter,bnb,82,53,True,-5665.717555304998,11351.435110609997,0.2695094729793834,0.14498038633542717,-0.008605913686167444,0.8497166568214892,4.168528407989866,0.25157093127505126,0.3565696897691791,0.22977101919616255,0.29297581045872945,0.27369156049804655,0.2237123496913509,0.06639820889798753,-0.6039319786218847,0.399398064396163
S3_nofilter,ltc,82,53,True,-6854.798883789015,13729.59776757803,0.655473920747395,0.09332500750886526,-0.024158099020319155,0.8935959429809706,3.9196720102107294,0.17165301819536483,-0.11557758568650552,0.3732763579276243,0.4290606286256895,0.6456615077774659,0.787665163266372,-0.06074420820153248,0.3012931972865292,0.302960680203939
S3_nofilter,ada,82,53,True,-7011.784303815329,14043.568607630657,1.562367152228248,0.16721695055959857,-0.02007758748004718,0.7885549262329214,4.515667041634261,0.28447571879910927,0.5680609932695811,0.5095240404223198,0.6754860943271916,0.5766797907872188,0.4004498018643745,-0.45831081656839534,-0.10378874782726087,2.159732797110931
S4_strict,btc,42,35,True,-5915.24960920174,11850.49921840348,0.3131432871813302,0.08405281886228581,0.005637895184273753,0.8855378357801718,3.1817192366948284,1.6047541418886857,0.9307388713450119,0.6100530138871563,0.4268860809043842,0.008579502340146261,0.029331260415546456,-0.01212579729181485,-0.10411823272516466,0.4532075555521148
S4_strict,eth,42,35,True,-6626.026110583319,13272.052221166638,1.0815502454916806,0.09763171212517424,0.013548149669949668,0.8148310244889264,3.7894912915999326,4.48432611658808,2.44336172773639,3.2984423345931995,2.3481576232587593,0.17410565194837946,0.29819092627434296,0.22989636670511077,-1.1511266102638034,0.7899218339065778
S4_strict,xrp,42,35,True,-6606.831864998441,13233.663729996882,1.7188978344781407,0.25197977212402584,-0.07522767912928438,0.709406388311332,3.1809787777751284,5.6952695922355225,5.490660991738794,2.753204183221197,6.751840286134373,0.03868973558388178,0.41617779148917866,0.19491529960176732,-3.0350402629257003,1.780497573800982
S4_strict,bnb,42,35,True,-5654.641672157423,11329.283344314847,0.4344872554773582,0.17571953994595646,-0.030095896787674332,0.8039437036664805,4.313544211107571,2.157892932293833,1.3595420581516624,0.7789913463907401,0.5581119906163237,0.0056511878952809624,0.014931634707222363,0.18179952623818357,-0.9511853934005055,0.0917299337482154
S4_strict,ltc,42,35,True,-6844.525353194858,13709.050706389717,1.1758054889921166,0.13378037885894822,-0.06889299762001726,0.8307731223310432,3.889431030852304,3.5753825713044782,2.2859627016090616,1.292126935108639,1.3525537570642896,0.005699512620494174,0.09113576357197872,0.146909685448839,-0.5320378157204975,0.3962308803915493
S4_strict,ada,42,35,True,-6994.626916852046,14009.253833704091,2.095356237006937,0.17469670954718516,-0.045559734492948686,0.7298647806070633,4.712151791977028,5.488376183929871,5.03293486329728,1.372532763181169,1.3989675735308642,6.559051751398037e-05,0.0003275864074290258,-0.013108793679289927,-1.0571359371271363,1.435133742643715
