basis,assets,n_infra,n_reg,car_infra_pct,car_reg_pct,diff_pp,block_p_two,block_p_one,block_ci_low_pct,block_ci_high_pct,im_t,im_df,im_p,im_ci_low_pct,im_ci_high_pct,cohens_d_obs,pooled_sd_pp,mde_car_pp
A: 6-asset (incl XRP),BTC/ETH/XRP/BNB/LTC/ADA,26,24,-0.23220079025295134,-7.420210466104152,7.188009675851201,0.2828,0.1414,-5.965943517896394,20.476345886761997,1.0592952236110986,47.96808176196151,0.29477044274723085,-6.455694378077418,20.831713729779818,0.2985449311299769,24.076810310076148,19.0939374618919
B: 5-asset (ex XRP),BTC/ETH/BNB/LTC/ADA,26,24,0.9096160824786003,-5.149504287507849,6.0591203699864495,0.4,0.2,-7.887539145151007,20.252660996937838,0.8402177062225149,47.97933725400516,0.4049539694395927,-8.440471186499517,20.558711926472416,0.23684992657909773,25.582107866784426,20.287702625930176
