spec,dbar_infra,dbar_reg,multiplier,welch_t,welch_p,mean_b_infra,mean_b_reg
baseline_const_mean,1.9782904995263761,0.40497407308912425,4.884980622181722,,,,
event_in_mean,1.9663480802078046,0.44494907761879016,4.419265437588955,4.4527121702486365,0.001848464591123959,-0.4532116375004882,-0.4556793037773292
