asset,ar1_phi,cm_dInfra,cm_dReg,cm_pInfra,cm_pReg,ar1_dInfra,ar1_dReg,ar1_pInfra,ar1_pReg
btc,-0.04128230343784301,1.0076237274680773,0.2982501810787411,0.02332110643074281,0.16951374069439984,1.0030486272332437,0.29119840873811226,0.027174793418293985,0.17761074088587736
eth,-0.055915341433961575,2.247431044588243,0.4881855183960561,0.01045601433407306,0.16094436625523323,2.1817191876478685,0.4789614081937257,0.0037946212696458037,0.14158576883075225
xrp,-0.024609527538957555,2.2374902264915035,1.220272877138206,0.08094024350915174,0.14702963147171677,2.2493090213603333,1.1682076575337002,0.07855723605571208,0.1895323388734771
bnb,-0.06728245306672796,1.205600127518391,0.18146914209594223,0.02787694718583733,0.5097733062152998,1.2211873662277202,0.17573380809463085,0.035600148192660885,0.5284709665100706
ltc,-0.02926102154363109,2.380911227979958,0.14377591650270813,0.08229511205814832,0.7848204924393674,2.3205278280981805,0.11902136407605853,0.06421613087405587,0.8173024817363952
ada,-0.027537901769288383,2.790905908201393,0.09887818515400539,0.0032190379574135175,0.8839386727885656,2.820720510569434,0.10594920758405485,0.02500796613840306,0.8751741186155406
