asset,n_obs,converged,negLL,omega,alpha,gamma,beta,nu,persistence,delta_infra,delta_reg,mean_z,mean_z2,exkurt_z,LB_z2_Q5,LB_z2_p5_naive,LB_z2_p5_adj,LB_z2_dfadj5,LB_z2_Q10,LB_z2_p10_naive,LB_z2_p10_adj,LB_z2_dfadj10,LB_z2_Q20,LB_z2_p20_naive,LB_z2_p20_adj,LB_z2_dfadj20,ARCHLM_stat5,ARCHLM_p5,ARCHLM_stat10,ARCHLM_p10
btc,2434,True,5919.695998846164,0.1147771818696031,0.07406470212034713,-1.1836118940363953e-08,0.9249353037977122,3.1299671642672453,0.9990000118361188,1.0079178556937838,0.2983657842221742,0.002177601204910001,0.8365629086292911,3.5305084690962127,6.601858606616503,0.2519736216536357,0.08573085677889299,3,11.671391472991669,0.3076508371270254,0.16647874088515435,8,23.52565865634586,0.26372621910838695,0.17119010466813717,18,6.666646821886993,0.24663577269381615,11.737758540576799,0.3029907127839929
eth,2434,True,6630.4748442578075,0.12706499803988028,0.07040136449309957,-0.008074288843005298,0.9245614910853978,3.764485449128229,0.9989999999999999,2.2474084053204497,0.48810173925351796,0.0030237342195249058,0.9220037426041631,2.705445564012586,1.2809233881529578,0.9368823521788174,0.7336679142744355,3,7.701264967545309,0.657990769193721,0.4631819564608468,8,15.567794632741384,0.7430495748952333,0.6226826408413704,18,1.2448980508264575,0.9404981761881183,9.120737952882493,0.5206847873330002
xrp,2434,True,6623.031129483867,1.3255807568896518,0.21339778749279537,-0.027317639339279734,0.7719433928375645,3.1444129053853933,0.9989999999999998,2.2373300576712265,1.219140688432428,-0.007806254665128412,0.889906390989954,5.862222253688053,2.4566748160297593,0.7830053235123073,0.483171820146562,3,5.120953327586543,0.882953040947525,0.7445737311045353,8,10.597199157849243,0.9560072413288685,0.9106617289120574,18,2.4752478053732356,0.7802180996791217,5.246228132892924,0.874134401366976
bnb,2191,True,5662.6178713287145,0.28629262126725474,0.13902288576921842,-0.010939985123539619,0.8545071216690117,4.205346242712162,0.9989999999999999,1.205521297410591,0.18143643403819076,-0.01573985411982754,0.958237632008464,2.733124722784905,3.5291056646508983,0.6189882199901581,0.31700678726943377,3,9.905549941587573,0.4488184943657638,0.2717177838913506,8,19.029306219492767,0.5199218219168291,0.3900208929422736,18,3.4705118827831276,0.6278541786871618,9.616087132358995,0.4747955763481284
ltc,2434,True,6849.927724415737,0.7104964360709348,0.09830541358721308,-0.033718905016477015,0.883835133904548,3.9304384646004205,0.9989999999999997,2.379612325088389,0.14364415926165336,0.0009068288466157927,0.9473894369854798,2.326983910412097,3.634471358649335,0.6031451152504003,0.3037358365176485,3,7.018359971266524,0.7237105301479422,0.5346530655328945,8,14.12844132873832,0.823924378494683,0.7206807582271071,18,3.5879338358231534,0.6101258791019025,7.081244570304714,0.7177533562947955
ada,2434,True,7007.854676774523,1.4038110501662382,0.15867703129428437,-0.02503641923539421,0.800582043288276,4.580859542777861,0.9717772842002574,2.7915147753779026,0.09898852533144785,-0.012379281914611028,0.9656615039662488,2.3187675444431743,3.8746474534048425,0.567601281404561,0.27532195879373905,3,9.067552577719947,0.5257048335084497,0.3366294102927245,8,17.36835134767625,0.6289417735304188,0.49793166851390613,18,3.9397275386755695,0.5581260064667115,9.392343286006149,0.4953169473712775
