# size table (method x alpha): empirical rejection rate under a TRUE NULL
method,size_005,se_005,size_010,se_010,rej_005,rej_010,n_panels_used
naive_iid,0.5124593716143012,0.01645259002022952,0.7009750812567714,0.015069683453430682,473,647,923
design_effect,0.4344528710725894,0.016315669006655813,0.6554712892741061,0.01564187085163982,401,605,923
gaussian_copula_boot,0.3076923076923077,0.015191723507922306,0.39761646803900325,0.01610897384487868,284,367,923
tcopula_boot,0.0390032502708559,0.00637250975211549,0.09534127843986999,0.00966678417126308,36,88,923

# study metadata + DGP
N_requested,N_used,panel_fail_frac,se_pd_frac,B_ref,B_ref_used_gauss,B_ref_used_t,B_ref_drop_gauss,B_ref_drop_t,rho_return,rho_resid,nu_c_null,nu_null,d_bar_obs_point,multiplier_point,crit_gauss_005,crit_gauss_010,crit_t_005,crit_t_010,naive_overrej_005,naive_overrej_010,seed,numba
1000,923,0.077,0.9869989165763814,4000,3769,3709,0.05775,0.07275,0.688208467039957,0.7048148702085673,3.8240330382487038,3.175;3.701;3.144;4.198;3.947;4.563,1.5733048461378611,4.885299164090934,1.6151552348341176,1.4538330716026835,2.44477687041799,2.1654904693680304,10.249187432286023,7.009750812567714,20260618,False
