asset,lag,lb_stat,lb_pvalue,significant_5pct
btc,5,7.07190666245168,0.21534721675005303,False
btc,10,12.453459286577536,0.25585337986199563,False
btc,20,20.448786317492246,0.43018912009139615,False
eth,5,12.198220385902324,0.03217036832694561,True
eth,10,24.04675373655481,0.007477254567375479,True
eth,20,35.19352233297684,0.01909747875306324,True
xrp,5,5.9979533962409,0.3064181128037866,False
xrp,10,12.886709747959811,0.23007517626310298,False
xrp,20,32.72918296454255,0.036121795705216946,True
bnb,5,25.61775710124124,0.0001058305278630113,True
bnb,10,29.501457127964485,0.0010330919831198224,True
bnb,20,41.382106423015365,0.0033261913783211943,True
ltc,5,6.871362137822394,0.23038441517025932,False
ltc,10,11.301581146327923,0.3345098316343295,False
ltc,20,21.671477478477634,0.3585999082901792,False
ada,5,6.711946837564234,0.24295958993870095,False
ada,10,18.56389033743085,0.04616460667863756,True
ada,20,30.443688806384024,0.06297625627697816,False
