spec,multiplier,d_bar_obs,rho_return,rho_resid,nu_null_median,p_gaussian_old_one_sided,null_sd_gaussian,p_tcopula_one_sided,p_tcopula_two_sided,null_sd_tcopula,sd_widened,B_used_t,frac_dropped_t,B_used_gaussian,frac_dropped_gaussian
baseline,4.885136214333136,1.5732712310038217,0.688208467039957,0.7048144498796928,3.824089181720436,0.057127602776294716,0.4549469176727614,0.32179556517036234,0.32341806381828014,0.787163901584722,True,1848,0.076,1872,0.064
crisis,3.96434183382704,1.4310668081748925,0.688208467039957,0.7026630513136379,3.8301993238278604,0.06113769271664009,0.4730133597826882,0.31798715203426126,0.32119914346895073,0.8407312312726104,True,1867,0.0665,1880,0.06
full,2.6373232398469466,1.51655569806437,0.688208467039957,0.7005999890804204,3.9159956585761115,0.10911424903722722,0.8387895896267551,0.24853228962818003,0.28440965427266796,1.4001222042962493,True,1532,0.234,1557,0.2215
