variant,multiplier,d_bar_obs,mean_infra,mean_reg,rho_return,rho_resid,naive_welch_t,naive_welch_p,robust_p_one_sided,robust_p_two_sided,null_dbar_mean,null_dbar_sd,B_used,frac_dropped,per_asset_diff
full,2.6373232398469466,1.51655569806437,2.4427965655708586,0.9262408675064885,0.688208467039957,0.7005999890804204,3.1812531536874653,0.011465438313412355,0.10911424903722722,0.11553273427471117,0.7139547319855923,0.8387895896267551,1557,0.2215,"[1.0695202290479866, 2.155426154815652, -0.41105567613827887, 0.8589078212849972, 2.8175006672503704, 2.6090349921254914]"
crisis,3.96434183382704,1.4310668081748925,1.9138271942560587,0.48276038608116584,0.688208467039957,0.7026630513136379,3.997799930732626,0.0033370752869705815,0.06113769271664009,0.06220095693779904,0.8109715637800056,0.4730133597826882,1880,0.06,"[0.702249869866114, 1.7276731392927807, 0.5552562509497072, 0.8230969458510098, 2.1587052664566233, 2.619419376633121]"
