spec,asset,dInfra,dReg,converged,n_infra,n_reg,winsor
curated,btc,1.0079744456384592,0.29837164693859525,True,26,24,global_clip
curated,eth,2.2473909346040046,0.48810376748990936,True,26,24,global_clip
curated,xrp,2.2373501684450385,1.2192171638379488,True,26,24,global_clip
curated,bnb,1.2054549879580216,0.18140604050006828,True,26,24,global_clip
curated,ltc,2.3797111398868753,0.143743917466517,True,26,24,global_clip
curated,ada,2.7918613206258573,0.09900190230170701,True,26,24,global_clip
nofilter,btc,0.04217879728833676,0.11415966531497472,True,82,53,global_clip
nofilter,eth,0.2888500862051649,0.10777420727248764,True,82,53,global_clip
nofilter,xrp,0.21667125428714729,1.1507694869529246,True,82,53,global_clip
nofilter,bnb,0.2515642587800694,0.3566862936301622,True,82,53,global_clip
nofilter,ltc,0.1716630954728571,-0.11562225628295876,True,82,53,global_clip
nofilter,ada,0.28460349840994703,0.568060720280915,True,82,53,global_clip
relaxed,btc,0.6548071702720492,0.3456037428846034,True,69,46,global_clip
relaxed,eth,1.352501553413554,0.504562072677934,True,69,46,global_clip
relaxed,xrp,2.1133388926421124,2.57650811291802,True,69,46,global_clip
relaxed,bnb,1.1060499327921671,0.6382410567851808,True,69,46,global_clip
relaxed,ltc,1.0096653309132835,0.32080491006259415,True,69,46,global_clip
relaxed,ada,2.178983987230008,1.2770426594910014,True,69,46,global_clip
twoasset,btc,1.3368754938571625,0.4270649476074548,True,53,40,global_clip
twoasset,eth,2.5490037552526505,0.9551971441893049,True,53,40,global_clip
twoasset,xrp,3.862054886939839,3.683165468653076,True,53,40,global_clip
twoasset,bnb,1.6834514296227931,0.8592528875867247,True,53,40,global_clip
twoasset,ltc,2.332863429331783,1.0808274173948844,True,53,40,global_clip
twoasset,ada,4.133826925353195,2.9042492661426014,True,53,40,global_clip
strict,btc,1.604927131989467,0.9307162172753054,True,42,35,global_clip
strict,eth,4.48361035381427,2.443446850920891,True,42,35,global_clip
strict,xrp,5.695467211828695,5.49383135261772,True,42,35,global_clip
strict,bnb,2.15767047031194,1.3592968334207325,True,42,35,global_clip
strict,ltc,3.575402631426487,2.2859674299410537,True,42,35,global_clip
strict,ada,5.489506046164237,5.034421240344859,True,42,35,global_clip
curated,btc,1.189551144048791,0.3372347482143868,True,26,24,rolling_canon
curated,eth,2.809905986387088,0.575942185805177,True,26,24,rolling_canon
curated,xrp,2.7050602600173863,1.5533421903859514,True,26,24,rolling_canon
curated,bnb,1.5070376349141332,0.1791299725469303,True,26,24,rolling_canon
curated,ltc,2.9369068176658315,0.073440884611676,True,26,24,rolling_canon
curated,ada,3.435394550301094,0.06595318777598146,True,26,24,rolling_canon
nofilter,btc,0.05302030875763253,0.14022941021427554,True,82,53,rolling_canon
nofilter,eth,0.5160630451517454,0.44092950232429623,True,82,53,rolling_canon
nofilter,xrp,0.36807111826655914,1.53993815040853,True,82,53,rolling_canon
nofilter,bnb,0.33353600532512745,0.4613107195302911,True,82,53,rolling_canon
nofilter,ltc,0.32258490529038647,-0.05815762374735296,True,82,53,rolling_canon
nofilter,ada,0.43457025237252356,0.7703763841978999,True,82,53,rolling_canon
relaxed,btc,0.8070533601306457,0.4259800481128278,True,69,46,rolling_canon
relaxed,eth,1.7520637797684457,0.6776806401434706,True,69,46,rolling_canon
relaxed,xrp,2.6905439896410495,3.181755062692552,True,69,46,rolling_canon
relaxed,bnb,1.4262409280607087,0.8189846599052368,True,69,46,rolling_canon
relaxed,ltc,1.378919129488343,0.4463930763257333,True,69,46,rolling_canon
relaxed,ada,2.7518860197434565,1.659912507394032,True,69,46,rolling_canon
twoasset,btc,1.5614079440921562,0.5166547007414208,True,53,40,rolling_canon
twoasset,eth,3.2763689984238633,1.377412005275892,True,53,40,rolling_canon
twoasset,xrp,4.809030225750249,4.4694362570758885,True,53,40,rolling_canon
twoasset,bnb,2.0534775375557213,1.024359912204545,True,53,40,rolling_canon
twoasset,ltc,2.9739154762889615,1.314219519685291,True,53,40,rolling_canon
twoasset,ada,5.138680010176785,3.473683034131047,True,53,40,rolling_canon
strict,btc,1.9233924148131933,1.1647909454437781,True,42,35,rolling_canon
strict,eth,5.702783206325015,3.2169437938078222,True,42,35,rolling_canon
strict,xrp,7.141691474369292,6.552470720426324,True,42,35,rolling_canon
strict,bnb,2.6025952653820204,1.5863035231320868,True,42,35,rolling_canon
strict,ltc,4.63180983297387,2.882553135497566,True,42,35,rolling_canon
strict,ada,6.721024539615785,5.783398504193284,True,42,35,rolling_canon
