asset,sentiment,freq,f_sent_to_vol,p_sent_to_vol,lag_sent_to_vol,f_vol_to_sent,p_vol_to_sent,lag_vol_to_sent,n_weeks
btc,S_reg_decomposed,weekly,1.4758834678275967,0.1750050932284337,7,2.1662264442247663,0.11621207990516239,2,342
btc,S_infra_decomposed,weekly,1.6833775025594069,0.11224418323742728,7,1.6870314869321366,0.19487811842091213,1,342
btc,S_gdelt_normalized,weekly,1.6978001406394736,0.10873629227046773,7,1.6106988169840677,0.20526682292977214,1,342
eth,S_reg_decomposed,weekly,1.928241502346011,0.05529881811305741,8,2.379097725174358,0.09419763642693854,2,342
eth,S_infra_decomposed,weekly,1.5193675461108171,0.22035443569187738,2,1.1421235497107638,0.3345439123653746,8,342
eth,S_gdelt_normalized,weekly,2.7499606820676674,0.06537399217948417,2,0.8066483513332782,0.5971166638585963,8,342
xrp,S_reg_decomposed,weekly,6.793371409710208,0.0012821388714768646,2,1.8485005832487136,0.17486417950533661,1,342
xrp,S_infra_decomposed,weekly,4.625620914428479,0.010431729560842805,2,3.6287252657046385,0.05763884672795125,1,342
xrp,S_gdelt_normalized,weekly,7.168666031905702,0.0008942682658020069,2,3.6987089897568475,0.05529441551553201,1,342
bnb,S_reg_decomposed,weekly,3.7218128197198976,0.005669491151139159,4,1.8835944826865958,0.07202429549436298,7,310
bnb,S_infra_decomposed,weekly,3.0381405362605785,0.04938647177175385,2,1.3053863435257187,0.24042517824204684,8,310
bnb,S_gdelt_normalized,weekly,2.8862477710876546,0.022761855854865367,4,1.7997375227364332,0.07687559869780825,8,310
ltc,S_reg_decomposed,weekly,2.032662704757688,0.042279816882254136,8,1.616881754407895,0.20006204928682375,2,342
ltc,S_infra_decomposed,weekly,0.8086572632393711,0.595350371289227,8,1.1566295389094459,0.28293272440924444,1,342
ltc,S_gdelt_normalized,weekly,1.473808608249411,0.16580069768085925,8,1.7185138673604003,0.1907744040793586,1,342
ada,S_reg_decomposed,weekly,7.701727954009652,0.00053678626206921,2,3.8797224147146903,0.0496888472176401,1,342
ada,S_infra_decomposed,weekly,5.290589770840068,0.00546847633096495,2,1.3159447739941779,0.2521324942166579,1,342
ada,S_gdelt_normalized,weekly,7.032884099515923,0.0010186827773648504,2,2.794619438481878,0.09550668505011725,1,342
