asset,n_regimes,crisis_lo,crisis_hi,base_dInfra,base_dReg,base_pInfra,base_pReg,base_omega,fullReg_dInfra,fullReg_dReg,fullReg_pInfra,fullReg_pReg,fullReg_omega,crisis_dInfra,crisis_dReg,crisis_pInfra,crisis_pReg,crisis_coef,crisis_omega
btc,5,2021-12-02,2022-12-04,1.0076237274680773,0.2982501810787411,0.02332110643074281,0.16951374069439984,0.11468856207532756,1.684573184826555,0.6148759205017573,0.013130227321421994,0.13607752903652215,0.885742774239518,1.0161978977032933,0.3139199907193991,0.026179214893562675,0.16347189436545229,0.039837911969763176,0.11717042609115279
eth,5,2021-12-01,2022-12-11,2.247431044588243,0.4881855183960561,0.01045601433407306,0.16094436625523323,0.12707302560827682,3.493707663908129,1.338812968206109,0.002177213336356676,0.08619523520459005,2.7691958666113687,2.3036533773128247,0.5757748473594358,0.0018319453143464948,0.10681771120221217,0.22256676226175803,0.1515190028493389
xrp,5,2021-11-22,2022-11-27,2.2374902264915035,1.220272877138206,0.08094024350915174,0.14702963147171677,1.3258821813288397,1.6712953329828157,2.083041004099158,0.19846715284093674,0.0923584020057886,2.132404073481348,1.9818667055675818,1.4259255768594719,0.0846777208890066,0.18511376271260382,0.8614006296859482,1.2940542440103937
bnb,4,2021-07-30,2022-07-04,1.205600127518391,0.18146914209594223,0.02787694718583733,0.5097733062152998,0.2863356806689125,1.3866579184027614,0.5277940752988658,0.06840739628353609,0.22714055666635002,2.048473595065192,1.0424892752858044,0.21929332313285674,0.05482272644848818,0.4568786071344233,0.6591003601569861,0.3180054296438566
ltc,5,2021-12-20,2022-12-20,2.380911227979958,0.14377591650270813,0.08229511205814832,0.7848204924393674,0.7106988002375384,3.427448443637347,0.6079681498634931,0.0016891294753789143,0.30670463935459247,1.820738451392823,2.368119628168678,0.2094118426976086,0.02335601501049478,0.6779932481640638,0.24076454029400887,0.6982858598761692
ada,5,2021-07-03,2022-07-03,2.790905908201393,0.09887818515400539,0.0032190379574135175,0.8839386727885656,1.403827651118523,2.993798219166734,0.3849219140018882,0.3673955457089324,0.6082719071727558,3.105621785292807,2.7713543688184528,0.15160535509005102,0.01693706681376206,0.83097158136506,0.6040492535817729,1.3949523015589098
